node_id,eventId,zoneId,hallId,hallName,bucket_ts,occupancyRatio,inflowCount,outflowCount,flowCongestionIndex,isEvent,isOvercrowded,isQueue,crowdComfortPenalty,comfortIndex,density_score,hour,day_of_week,is_weekend,engagement_truth
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 11:00:00+00:00,0.753,327.0,0.0,0.827,1,0,0,30.1,49.4,0.75,11,3,0,0.7894224144024165
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 11:15:00+00:00,0.967,96.0,0.0,0.977,1,1,1,38.7,44.5,0.35,11,3,0,0.38802069592949445
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 11:30:00+00:00,0.538,0.0,193.0,0.377,1,0,0,21.5,56.8,0.45,11,3,0,0.4499010071205186
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 11:45:00+00:00,0.991,204.0,0.0,0.994,1,1,1,39.6,47.2,0.35,11,3,0,0.12580197691219502
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 12:00:00+00:00,0.967,0.0,11.0,0.677,1,1,0,38.7,44.9,0.35,12,3,0,0.2957546395937321
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 12:15:00+00:00,0.893,0.0,33.0,0.625,1,1,0,35.7,65.3,0.35,12,3,0,0.2660448995221599
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 12:30:00+00:00,1.0,48.0,0.0,0.988,1,1,1,40.0,45.2,0.35,12,3,0,0.24722860896555143
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 12:45:00+00:00,0.84,0.0,72.0,0.588,1,1,0,33.6,49.7,0.75,12,3,0,0.304289305019143
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 13:00:00+00:00,0.893,24.0,0.0,0.769,1,1,1,35.7,71.4,0.35,13,3,0,0.22624111250696222
EVT001_HZA01_zoneA,EVT001,zoneA,HZA01,SouthHall1,2025-12-25 13:15:00+00:00,0.48,0.0,186.0,0.336,1,0,0,19.2,71.2,0.45,13,3,0,0.5643939498117638
